Seoul,서울,Seoul,서울,Seoul,서울
Sejong,세종,Sejong,세종,Sejong,세종
Incheon,인천,Incheon,인천,Incheon,인천
Daejeon,대전,Daejeon,대전,Daejeon,대전
Gwangju,광주,Gwangju,광주,Gwangju,광주
Daegu,재구,Daegu,재구,Daegu,재구
Ulsan,울산,Ulsan,울산,Ulsan,울산
Gyeonggi-do,경기도,Gyeonggi-do,경기도,Gyeonggi-do,경기도
Gangwon-do,강원도,Gangwon-do,강원도,Gangwon-do,강원도
Chungcheongbuk-do,충청북도,Chungcheongbuk-do,충청북도,Chungcheongbuk-do,충청북도
Chungcheongnam-do,충청남도,Chungcheongnam-do,충청남도,Chungcheongnam-do,충청남도
Jeollabuk-do,전라북도,Jeollabuk-do,전라북도,Jeollabuk-do,전라북도
Jeollanam-do,전라남도,Jeollanam-do,전라남도,Jeollanam-do,전라남도
Gyeongsangbuk-do,경상북도,Gyeongsangbuk-do,경상북도,Gyeongsangbuk-do,경상북도
Gyeongsangnam-do,경상남도,Gyeongsangnam-do,경상남도,Gyeongsangnam-do,경상남도
Jeju-do,제주도,Jeju-do,제주도,Jeju-do,제주도
